MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/BLuXCj,,[],BLuXCj
https://marketplace.sshopencloud.eu/tool-or-service/zrcdNS,,[],zrcdNS
https://marketplace.sshopencloud.eu/tool-or-service/5DGYk0,404.0,['https://www.kielipankki.fi/tools/demo/cgi-bin/predict/finsent.py'],5DGYk0
https://marketplace.sshopencloud.eu/tool-or-service/nYVgLN,,[],nYVgLN
https://marketplace.sshopencloud.eu/tool-or-service/zjiht4,,[],zjiht4
https://marketplace.sshopencloud.eu/tool-or-service/Y6Cix8,,[],Y6Cix8
https://marketplace.sshopencloud.eu/tool-or-service/i1xebr,408.0,['http://flamenco.berkeley.edu/index.html'],i1xebr
https://marketplace.sshopencloud.eu/tool-or-service/8hkmPk,500.0,['https://www.madcapsoftware.com/products/flare/'],8hkmPk
https://marketplace.sshopencloud.eu/tool-or-service/gaaICD,,[],gaaICD
https://marketplace.sshopencloud.eu/tool-or-service/fQ11oI,,[],fQ11oI
https://marketplace.sshopencloud.eu/tool-or-service/GwdBWn,,[],GwdBWn
https://marketplace.sshopencloud.eu/tool-or-service/8WrxNC,,[],8WrxNC
https://marketplace.sshopencloud.eu/tool-or-service/SFc3qq,,[],SFc3qq
https://marketplace.sshopencloud.eu/tool-or-service/BeuVKa,,[],BeuVKa
https://marketplace.sshopencloud.eu/tool-or-service/U99S9J,,[],U99S9J
https://marketplace.sshopencloud.eu/tool-or-service/piir0h,404.0,['http://www-03.ibm.com/ibm/history/ibm100/us/en/icons/fortran/'],piir0h
https://marketplace.sshopencloud.eu/tool-or-service/YGxona,,[],YGxona
https://marketplace.sshopencloud.eu/tool-or-service/a47VVu,,[],a47VVu
https://marketplace.sshopencloud.eu/tool-or-service/reMATh,,[],reMATh
https://marketplace.sshopencloud.eu/tool-or-service/qi1mTw,,[],qi1mTw
https://marketplace.sshopencloud.eu/tool-or-service/ewuTgR,408.0,['http://beta.fromthepage.com/'],ewuTgR
https://marketplace.sshopencloud.eu/tool-or-service/PQqynC,,[],PQqynC
https://marketplace.sshopencloud.eu/tool-or-service/ysUiV1,403.0,['https://gallica.bnf.fr/accueil/en/content/accueil-en'],ysUiV1
https://marketplace.sshopencloud.eu/tool-or-service/fOkJg8,408.0,['https://cpdoc.fgv.br/casa-acervo/game-casa-acervo'],fOkJg8
https://marketplace.sshopencloud.eu/tool-or-service/bZhsxt,,[],bZhsxt
https://marketplace.sshopencloud.eu/tool-or-service/lbBrAP,408.0,['https://hdl.handle.net/21.11115/0000-000B-D330-0'],lbBrAP
https://marketplace.sshopencloud.eu/tool-or-service/tzfriN,403.0,['https://ihpan.edu.pl/en/dariah-lab-en/geohum'],tzfriN
https://marketplace.sshopencloud.eu/tool-or-service/SF6SHP,,[],SF6SHP
https://marketplace.sshopencloud.eu/tool-or-service/8bxIa1,403.0,['http://www.geotime.com/'],8bxIa1
https://marketplace.sshopencloud.eu/tool-or-service/nNlpSz,503.0,['http://gerbilvis.org/'],nNlpSz
https://marketplace.sshopencloud.eu/tool-or-service/WvsoqE,503.0,['http://textplus.sfs.uni-tuebingen.de:8008/api/sru/test'],WvsoqE
https://marketplace.sshopencloud.eu/tool-or-service/1l6v7q,403.0,['http://www2.lingsoft.fi/doc/gertwol/'],1l6v7q
https://marketplace.sshopencloud.eu/tool-or-service/Lv2gOM,404.0,['http://www.visualdataweb.org/gfacet.php'],Lv2gOM
https://marketplace.sshopencloud.eu/tool-or-service/wyP3HN,,[],wyP3HN
https://marketplace.sshopencloud.eu/tool-or-service/LRsAyN,,[],LRsAyN
https://marketplace.sshopencloud.eu/tool-or-service/sz8gOs,,[],sz8gOs
https://marketplace.sshopencloud.eu/tool-or-service/2ziqRK,503.0,['https://golem.lab.dariah.pl'],2ziqRK
https://marketplace.sshopencloud.eu/tool-or-service/LbSufZ,,[],LbSufZ
https://marketplace.sshopencloud.eu/tool-or-service/KtOgEl,,[],KtOgEl
https://marketplace.sshopencloud.eu/tool-or-service/BPMNtu,,[],BPMNtu
https://marketplace.sshopencloud.eu/tool-or-service/8damb1,,[],8damb1
https://marketplace.sshopencloud.eu/tool-or-service/yYW0NG,,[],yYW0NG
https://marketplace.sshopencloud.eu/tool-or-service/CFcdFx,,[],CFcdFx
https://marketplace.sshopencloud.eu/tool-or-service/gDjdf7,503.0,['https://music-put/lab.dariah.pl/en'],gDjdf7
https://marketplace.sshopencloud.eu/tool-or-service/W55H2k,,[],W55H2k
https://marketplace.sshopencloud.eu/tool-or-service/EKPrch,,[],EKPrch
https://marketplace.sshopencloud.eu/tool-or-service/gm5FCF,,[],gm5FCF
https://marketplace.sshopencloud.eu/tool-or-service/4kGb2i,,[],4kGb2i
https://marketplace.sshopencloud.eu/tool-or-service/VUsxa0,403.0,['https://www.hathitrust.org/'],VUsxa0
https://marketplace.sshopencloud.eu/tool-or-service/KV0ceb,,[],KV0ceb
https://marketplace.sshopencloud.eu/tool-or-service/sqQ8Z6,503.0,['http://www.hisma.org/HISMA/HISCAM.html'],sqQ8Z6
https://marketplace.sshopencloud.eu/tool-or-service/SoI9CF,408.0,['https://www.sistory.si/'],SoI9CF
https://marketplace.sshopencloud.eu/tool-or-service/J7H6f4,503.0,['https://datasets.socialhistory.org/dataverse/historyofwork'],J7H6f4
https://marketplace.sshopencloud.eu/tool-or-service/ESs5u6,,[],ESs5u6
https://marketplace.sshopencloud.eu/tool-or-service/BqRa2R,400.0,['https://transkribus.eu/wiki/images/d/db/HowToTranscribe_AdvancedMode.pdf'],BqRa2R
